País,Provincia,Partido,Localidad,Unnamed: 4,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
Argentina,BUENOS AIRES,San Cayetano,Balneario San Cayetano,"Argentina,BUENOS AIRES,San Cayetano,Balneario San Cayetano",6742010,0,0,0,135,0,0,0,1,136
Argentina,BUENOS AIRES,San Cayetano,San Cayetano,"Argentina,BUENOS AIRES,San Cayetano,San Cayetano",6742030,116,1054,0,902,0,0,0,268,2340
Argentina,BUENOS AIRES,San Cayetano,Ochandío,"Argentina,BUENOS AIRES,San Cayetano,Ochandío",6742020,0,0,0,0,0,0,0,15,15
Argentina,BUENOS AIRES,San Fernando,San Fernando,"Argentina,BUENOS AIRES,San Fernando,San Fernando",6749010,130,15419,2,12222,175,0,0,109,28057
Argentina,BUENOS AIRES,San Fernando,Victoria,"Argentina,BUENOS AIRES,San Fernando,Victoria",6749010,71,12058,2,4369,78,2,0,1,16581
Argentina,BUENOS AIRES,San Fernando,Virreyes,"Argentina,BUENOS AIRES,San Fernando,Virreyes",6749010,13,6758,0,4527,101,0,0,0,11399
Argentina,BUENOS AIRES,San Isidro,Acassuso,"Argentina,BUENOS AIRES,San Isidro,Acassuso",6756010,25,4563,1,1292,52,1,0,0,5934
Argentina,BUENOS AIRES,San Isidro,Beccar,"Argentina,BUENOS AIRES,San Isidro,Beccar",6756010,114,14769,0,2435,182,0,0,80,17580
Argentina,BUENOS AIRES,San Isidro,Boulogne Sur Mer,"Argentina,BUENOS AIRES,San Isidro,Boulogne Sur Mer",6756010,94,17356,4,7313,277,1,0,3,25048
Argentina,BUENOS AIRES,San Isidro,Martínez,"Argentina,BUENOS AIRES,San Isidro,Martínez",6756010,186,20572,50,9460,189,1,0,0,30458
Argentina,BUENOS AIRES,San Isidro,San Isidro,"Argentina,BUENOS AIRES,San Isidro,San Isidro",6756010,108,18148,3,5098,192,1,0,1,23551
Argentina,BUENOS AIRES,San Isidro,Villa Adelina,"Argentina,BUENOS AIRES,San Isidro,Villa Adelina",6756010,35,8545,0,3572,109,0,0,0,12261
Argentina,BUENOS AIRES,San Miguel,Bella Vista,"Argentina,BUENOS AIRES,San Miguel,Bella Vista",6760010,54,3740,36,8289,10,2,0,1409,13540
Argentina,BUENOS AIRES,San Miguel,Campo De Mayo,"Argentina,BUENOS AIRES,San Miguel,Campo De Mayo",6760010,0,0,0,0,0,1,0,0,1
Argentina,BUENOS AIRES,San Miguel,Muñiz,"Argentina,BUENOS AIRES,San Miguel,Muñiz",6760010,52,3670,5,1936,0,0,0,0,5663
Argentina,BUENOS AIRES,San Miguel,San Miguel,"Argentina,BUENOS AIRES,San Miguel,San Miguel",6760010,295,80985,60,13423,47,2,0,604,95416
Argentina,BUENOS AIRES,San Nicolás,Conesa,"Argentina,BUENOS AIRES,San Nicolás,Conesa",6763010,670,0,0,1402,0,1,0,49,2122
Argentina,BUENOS AIRES,San Nicolás,Erézcano,"Argentina,BUENOS AIRES,San Nicolás,Erézcano",6763020,0,0,0,0,0,0,0,108,108
Argentina,BUENOS AIRES,San Nicolás,General Rojo,"Argentina,BUENOS AIRES,San Nicolás,General Rojo",6763030,0,0,0,608,0,0,0,0,608
Argentina,BUENOS AIRES,San Nicolás,San Nicolás de los Arroyos,"Argentina,BUENOS AIRES,San Nicolás,San Nicolás de los Arroyos",6763050,4911,15098,2,17762,0,2,0,53,37828
Argentina,BUENOS AIRES,San Pedro,Río Tala,"Argentina,BUENOS AIRES,San Pedro,Río Tala",6770040,0,0,0,2,237,0,0,0,239
Argentina,BUENOS AIRES,San Pedro,San Pedro,"Argentina,BUENOS AIRES,San Pedro,San Pedro",6770050,1260,5176,0,10123,78,3,0,202,16842
Argentina,BUENOS AIRES,San Pedro,Santa Lucía,"Argentina,BUENOS AIRES,San Pedro,Santa Lucía",6770060,0,0,0,3,0,2,0,0,5
Argentina,BUENOS AIRES,San Pedro,Pueblo Doyle,"Argentina,BUENOS AIRES,San Pedro,Pueblo Doyle",6770030,0,0,0,0,0,0,0,8,8
Argentina,BUENOS AIRES,San Vicente,Alejandro Korn,"Argentina,BUENOS AIRES,San Vicente,Alejandro Korn",6778020,14,3333,4,7017,81,0,0,332,10781
Argentina,BUENOS AIRES,San Vicente,Domselaar,"Argentina,BUENOS AIRES,San Vicente,Domselaar",6778020,0,1253,0,0,0,0,0,52,1305
Argentina,BUENOS AIRES,San Vicente,San Vicente,"Argentina,BUENOS AIRES,San Vicente,San Vicente",6778020,395,4340,4,604,195,0,0,395,5933
Argentina,BUENOS AIRES,Suipacha,General Rivas,"Argentina,BUENOS AIRES,Suipacha,General Rivas",6784010,96,0,0,0,0,0,0,123,219
Argentina,BUENOS AIRES,Suipacha,Suipacha,"Argentina,BUENOS AIRES,Suipacha,Suipacha",6784020,219,0,2,3307,0,0,0,506,4034
Argentina,BUENOS AIRES,Tandil,De la Canal,"Argentina,BUENOS AIRES,Tandil,De la Canal",6791010,0,0,0,0,5,0,0,39,44
Argentina,BUENOS AIRES,Tandil,Gardey,"Argentina,BUENOS AIRES,Tandil,Gardey",6791030,0,0,0,281,36,0,0,23,340
Argentina,BUENOS AIRES,Tandil,María Ignacia  (Est. Vela),"Argentina,BUENOS AIRES,Tandil,María Ignacia  (Est. Vela)",6791040,268,0,0,0,0,0,0,25,293
Argentina,BUENOS AIRES,Tandil,OTROS,"Argentina,BUENOS AIRES,Tandil,OTROS",Sin Datos,0,0,0,0,45,0,0,0,45
Argentina,BUENOS AIRES,Tandil,Tandil,"Argentina,BUENOS AIRES,Tandil,Tandil",6791050,797,42239,184,3326,83,3,0,1004,47636
Argentina,BUENOS AIRES,Tandil,Desvío Aguirre,"Argentina,BUENOS AIRES,Tandil,Desvío Aguirre",6791050,0,0,0,12,0,0,0,1,13
Argentina,BUENOS AIRES,Tapalqué,Tapalqué,"Argentina,BUENOS AIRES,Tapalqué,Tapalqué",6798020,0,0,0,1,0,1,0,0,2
Argentina,BUENOS AIRES,Tigre,Benavídez,"Argentina,BUENOS AIRES,Tigre,Benavídez",6805010,815,9095,0,11278,338,3,0,1605,23134
Argentina,BUENOS AIRES,Tigre,Dique Luján,"Argentina,BUENOS AIRES,Tigre,Dique Luján",6805010,9,2472,0,253,0,0,0,104,2838
Argentina,BUENOS AIRES,Tigre,Don Torcuato Este,"Argentina,BUENOS AIRES,Tigre,Don Torcuato Este",6805010,64,12784,3,12962,177,0,0,23,26013
Argentina,BUENOS AIRES,Tigre,El Talar,"Argentina,BUENOS AIRES,Tigre,El Talar",6805010,26,7328,0,8545,124,0,0,79,16102
Argentina,BUENOS AIRES,Tigre,General Pacheco,"Argentina,BUENOS AIRES,Tigre,General Pacheco",6805010,1274,11436,1,4944,183,2,0,10,17850
Argentina,BUENOS AIRES,Tigre,Los Troncos Del Talar,"Argentina,BUENOS AIRES,Tigre,Los Troncos Del Talar",6805010,36,6460,0,3716,89,1,0,0,10302
Argentina,BUENOS AIRES,Tigre,OTROS,"Argentina,BUENOS AIRES,Tigre,OTROS",Sin Datos,0,0,0,2,0,0,0,0,2
Argentina,BUENOS AIRES,Tigre,Ricardo Rojas,"Argentina,BUENOS AIRES,Tigre,Ricardo Rojas",6805010,1050,3649,0,2426,53,0,0,0,7178
Argentina,BUENOS AIRES,Tigre,Rincón de Milberg,"Argentina,BUENOS AIRES,Tigre,Rincón de Milberg",6805010,256,9356,0,2516,178,0,0,45,12351
Argentina,BUENOS AIRES,Tigre,Tigre,"Argentina,BUENOS AIRES,Tigre,Tigre",6805010,59,12387,0,6620,314,5,0,176,19561
Argentina,BUENOS AIRES,Tigre,Don Torcuato Oeste,"Argentina,BUENOS AIRES,Tigre,Don Torcuato Oeste",6805010,0,0,0,1,0,0,0,186,187
Argentina,BUENOS AIRES,Tigre,Nordelta,"Argentina,BUENOS AIRES,Tigre,Nordelta",6805010,0,5707,0,3831,0,0,0,0,9538
Argentina,BUENOS AIRES,Tordillo,General Conesa,"Argentina,BUENOS AIRES,Tordillo,General Conesa",6812010,35,227,0,0,0,0,0,63,325
Argentina,BUENOS AIRES,Tordillo,Villa Roch,"Argentina,BUENOS AIRES,Tordillo,Villa Roch",6812010,0,0,0,0,0,0,0,11,11
Argentina,BUENOS AIRES,Tornquist,Saldungaray,"Argentina,BUENOS AIRES,Tornquist,Saldungaray",6819020,616,0,0,0,0,0,0,0,616
Argentina,BUENOS AIRES,Tornquist,Sierra de la Ventana,"Argentina,BUENOS AIRES,Tornquist,Sierra de la Ventana",6819030,0,486,0,727,0,0,0,0,1213
Argentina,BUENOS AIRES,Tornquist,Tornquist,"Argentina,BUENOS AIRES,Tornquist,Tornquist",6819040,110,966,0,1461,0,1,0,0,2538
Argentina,BUENOS AIRES,Tornquist,Villa Serrana La Gruta,"Argentina,BUENOS AIRES,Tornquist,Villa Serrana La Gruta",6819060,0,119,0,0,0,0,0,0,119
Argentina,BUENOS AIRES,Tornquist,Villa Ventana,"Argentina,BUENOS AIRES,Tornquist,Villa Ventana",6819070,475,0,0,0,0,0,0,0,475
Argentina,BUENOS AIRES,Trenque Lauquen,30 de Agosto,"Argentina,BUENOS AIRES,Trenque Lauquen,30 de Agosto",6826040,0,184,0,1396,2376,0,0,0,3956
Argentina,BUENOS AIRES,Trenque Lauquen,OTROS,"Argentina,BUENOS AIRES,Trenque Lauquen,OTROS",Sin Datos,0,0,0,0,0,4,0,0,4
Argentina,BUENOS AIRES,Trenque Lauquen,Trenque Lauquen,"Argentina,BUENOS AIRES,Trenque Lauquen,Trenque Lauquen",6826050,2369,0,61,13719,0,1,0,1241,17391
Argentina,BUENOS AIRES,Trenque Lauquen,Girodias,"Argentina,BUENOS AIRES,Trenque Lauquen,Girodias",6826020,47,0,0,0,0,0,0,2,49
Argentina,BUENOS AIRES,Trenque Lauquen,La Carreta,"Argentina,BUENOS AIRES,Trenque Lauquen,La Carreta",6826030,0,0,0,0,0,0,0,2,2
Argentina,BUENOS AIRES,Trenque Lauquen,Trongé,"Argentina,BUENOS AIRES,Trenque Lauquen,Trongé",6826060,0,0,0,0,0,0,0,2,2
Argentina,BUENOS AIRES,Trenque Lauquen,Berutti,"Argentina,BUENOS AIRES,Trenque Lauquen,Berutti",6826010,0,0,0,282,0,0,0,0,282
Argentina,BUENOS AIRES,Tres Arroyos,Claromecó,"Argentina,BUENOS AIRES,Tres Arroyos,Claromecó",6833020,228,0,0,786,0,0,0,1167,2181
Argentina,BUENOS AIRES,Tres Arroyos,Copetonas,"Argentina,BUENOS AIRES,Tres Arroyos,Copetonas",6833030,0,0,0,1,0,0,0,89,90
Argentina,BUENOS AIRES,Tres Arroyos,Lin Calel,"Argentina,BUENOS AIRES,Tres Arroyos,Lin Calel",6833040,0,0,0,0,0,0,0,11,11
Argentina,BUENOS AIRES,Tres Arroyos,Micaela Cascallares  (Est. Cascallares),"Argentina,BUENOS AIRES,Tres Arroyos,Micaela Cascallares  (Est. Cascallares)",6833050,0,0,0,1,0,0,0,176,177
Argentina,BUENOS AIRES,Tres Arroyos,Orense,"Argentina,BUENOS AIRES,Tres Arroyos,Orense",6833060,0,0,1,246,407,0,0,146,800
Argentina,BUENOS AIRES,Tres Arroyos,Reta,"Argentina,BUENOS AIRES,Tres Arroyos,Reta",6833070,0,0,0,0,0,0,0,224,224
Argentina,BUENOS AIRES,Tres Arroyos,San Francisco de Bellocq,"Argentina,BUENOS AIRES,Tres Arroyos,San Francisco de Bellocq",6833080,0,0,0,0,0,0,0,158,158
Argentina,BUENOS AIRES,Tres Arroyos,San Mayol,"Argentina,BUENOS AIRES,Tres Arroyos,San Mayol",6833090,0,0,0,0,0,0,0,18,18
Argentina,BUENOS AIRES,Tres Arroyos,Tres Arroyos,"Argentina,BUENOS AIRES,Tres Arroyos,Tres Arroyos",6833100,1077,13986,57,1663,54,1,0,1341,18179
Argentina,BUENOS AIRES,Tres De Febrero,11 De Septiembre,"Argentina,BUENOS AIRES,Tres De Febrero,11 De Septiembre",6840010,3,1283,0,4,28,0,0,0,1318
Argentina,BUENOS AIRES,Tres De Febrero,Caseros,"Argentina,BUENOS AIRES,Tres De Febrero,Caseros",6840010,141,24934,2,9334,370,1,0,2,34784
Argentina,BUENOS AIRES,Tres De Febrero,Churruca,"Argentina,BUENOS AIRES,Tres De Febrero,Churruca",6840010,1,955,0,1630,30,0,0,0,2616
Argentina,BUENOS AIRES,Tres De Febrero,Ciudad Jardín Lomas del Palomar,"Argentina,BUENOS AIRES,Tres De Febrero,Ciudad Jardín Lomas del Palomar",6840010,26,5611,0,951,61,0,0,0,6649
Argentina,BUENOS AIRES,Tres De Febrero,Ciudadela,"Argentina,BUENOS AIRES,Tres De Febrero,Ciudadela",6840010,123,11863,66,15867,250,3,0,4,28176
Argentina,BUENOS AIRES,Tres De Febrero,El Libertador,"Argentina,BUENOS AIRES,Tres De Febrero,El Libertador",6840010,3,3041,0,1,89,0,0,0,3134
Argentina,BUENOS AIRES,Tres De Febrero,Jose Ingenieros,"Argentina,BUENOS AIRES,Tres De Febrero,Jose Ingenieros",6840010,3,2025,0,579,25,0,0,5,2637
Argentina,BUENOS AIRES,Tres De Febrero,Loma Hermosa,"Argentina,BUENOS AIRES,Tres De Febrero,Loma Hermosa",6840010,37,6042,0,61,116,0,0,0,6256
Argentina,BUENOS AIRES,Tres De Febrero,Martín Coronado,"Argentina,BUENOS AIRES,Tres De Febrero,Martín Coronado",6840010,8,5310,1,2821,88,0,0,0,8228
Argentina,BUENOS AIRES,Tres De Febrero,Pablo Podestá,"Argentina,BUENOS AIRES,Tres De Febrero,Pablo Podestá",6840010,66,3647,0,9,71,0,0,438,4231
Argentina,BUENOS AIRES,Tres De Febrero,Remedios De Escalada,"Argentina,BUENOS AIRES,Tres De Febrero,Remedios De Escalada",6840010,2,3135,0,9161,101,0,0,0,12399
Argentina,BUENOS AIRES,Tres De Febrero,Saenz Peña,"Argentina,BUENOS AIRES,Tres De Febrero,Saenz Peña",6840010,15,5684,0,947,66,1,0,1,6714
Argentina,BUENOS AIRES,Tres De Febrero,Santos Lugares,"Argentina,BUENOS AIRES,Tres De Febrero,Santos Lugares",6840010,27,6847,0,1387,105,0,0,1,8367
