Año,Trimestre,Provincia,Mbps (Media de bajada),Incremento_Velocidad,Trimestre_Label
1970,2,FORMOSA,28,-2.0,Q2
1970,2,JUJUY,29,-3.0,Q2
1970,2,LA PAMPA,16,-2.0,Q2
1970,2,LA RIOJA,43,-1.0,Q2
1970,2,MENDOZA,29,-5.0,Q2
1970,2,MISIONES,46,-3.0,Q2
1970,2,NEUQUÉN,46,-1.0,Q2
1970,2,RÍO NEGRO,33,-1.0,Q2
1970,2,SALTA,38,-3.0,Q2
1970,2,SAN JUAN,14,-1.0,Q2
1970,2,SAN LUIS,19,0.0,Q2
1970,2,SANTA CRUZ,11,-1.0,Q2
1970,2,SANTA FE,42,-3.0,Q2
1970,2,SANTIAGO DEL ESTERO,16,-1.0,Q2
1970,2,TIERRA DEL FUEGO,10,-1.0,Q2
1970,2,TUCUMÁN,50,-3.0,Q2
1970,1,BUENOS AIRES,62,-3.0,Q1
1970,1,CABA,88,-5.0,Q1
1970,1,CATAMARCA,51,-5.0,Q1
1970,1,CHACO,45,-5.0,Q1
1970,1,CHUBUT,13,-1.0,Q1
1970,1,CÓRDOBA,49,-4.0,Q1
1970,1,CORRIENTES,38,-5.0,Q1
1970,1,ENTRE RÍOS,35,-5.0,Q1
1970,1,FORMOSA,30,2.0,Q1
1970,1,JUJUY,27,-2.0,Q1
1970,1,LA PAMPA,14,-2.0,Q1
1970,1,LA RIOJA,41,-2.0,Q1
1970,1,MENDOZA,26,-3.0,Q1
1970,1,MISIONES,41,-5.0,Q1
1970,1,NEUQUÉN,43,-3.0,Q1
1970,1,RÍO NEGRO,31,-2.0,Q1
1970,1,SALTA,36,-2.0,Q1
1970,1,SAN JUAN,11,-3.0,Q1
1970,1,SAN LUIS,20,1.0,Q1
1970,1,SANTA CRUZ,10,-1.0,Q1
1970,1,SANTA FE,38,-4.0,Q1
1970,1,SANTIAGO DEL ESTERO,14,-2.0,Q1
1970,1,TIERRA DEL FUEGO,10,0.0,Q1
1970,1,TUCUMÁN,47,-3.0,Q1
1970,4,BUENOS AIRES,60,-2.0,Q4
1970,4,CABA,82,-6.0,Q4
1970,4,CATAMARCA,46,-5.0,Q4
1970,4,CHACO,42,-3.0,Q4
1970,4,CHUBUT,9,-4.0,Q4
1970,4,CÓRDOBA,46,-3.0,Q4
1970,4,CORRIENTES,35,-3.0,Q4
1970,4,ENTRE RÍOS,33,-2.0,Q4
1970,4,FORMOSA,28,-2.0,Q4
1970,4,JUJUY,27,0.0,Q4
1970,4,LA PAMPA,13,-1.0,Q4
1970,4,LA RIOJA,39,-2.0,Q4
1970,4,MENDOZA,22,-4.0,Q4
1970,4,MISIONES,38,-3.0,Q4
1970,4,NEUQUÉN,40,-3.0,Q4
1970,4,RÍO NEGRO,27,-4.0,Q4
1970,4,SALTA,33,-3.0,Q4
1970,4,SAN JUAN,11,0.0,Q4
1970,4,SAN LUIS,20,0.0,Q4
1970,4,SANTA CRUZ,8,-2.0,Q4
1970,4,SANTA FE,36,-2.0,Q4
1970,4,SANTIAGO DEL ESTERO,13,-1.0,Q4
1970,4,TIERRA DEL FUEGO,10,0.0,Q4
1970,4,TUCUMÁN,45,-2.0,Q4
1970,3,BUENOS AIRES,56,-4.0,Q3
1970,3,CABA,77,-5.0,Q3
1970,3,CATAMARCA,43,-3.0,Q3
1970,3,CHACO,39,-3.0,Q3
1970,3,CHUBUT,8,-1.0,Q3
1970,3,CÓRDOBA,41,-5.0,Q3
1970,3,CORRIENTES,32,-3.0,Q3
1970,3,ENTRE RÍOS,29,-4.0,Q3
1970,3,FORMOSA,26,-2.0,Q3
1970,3,JUJUY,25,-2.0,Q3
1970,3,LA PAMPA,12,-1.0,Q3
1970,3,LA RIOJA,38,-1.0,Q3
1970,3,MENDOZA,13,-9.0,Q3
1970,3,MISIONES,30,-8.0,Q3
1970,3,NEUQUÉN,38,-2.0,Q3
1970,3,RÍO NEGRO,25,-2.0,Q3
1970,3,SALTA,31,-2.0,Q3
1970,3,SAN JUAN,7,-4.0,Q3
1970,3,SAN LUIS,21,1.0,Q3
1970,3,SANTA CRUZ,7,-1.0,Q3
1970,3,SANTA FE,33,-3.0,Q3
1970,3,SANTIAGO DEL ESTERO,13,0.0,Q3
1970,3,TIERRA DEL FUEGO,9,-1.0,Q3
1970,3,TUCUMÁN,42,-3.0,Q3
1970,2,BUENOS AIRES,52,-4.0,Q2
1970,2,CABA,72,-5.0,Q2
1970,2,CATAMARCA,42,-1.0,Q2
1970,2,CHACO,37,-2.0,Q2
1970,2,CHUBUT,7,-1.0,Q2
1970,2,CÓRDOBA,39,-2.0,Q2
1970,2,CORRIENTES,30,-2.0,Q2
1970,2,ENTRE RÍOS,27,-2.0,Q2
1970,2,FORMOSA,23,-3.0,Q2
1970,2,JUJUY,25,0.0,Q2
1970,2,LA PAMPA,12,0.0,Q2
1970,2,LA RIOJA,38,0.0,Q2
1970,2,MENDOZA,13,0.0,Q2
1970,2,MISIONES,28,-2.0,Q2
1970,2,NEUQUÉN,36,-2.0,Q2
1970,2,RÍO NEGRO,23,-2.0,Q2
1970,2,SALTA,29,-2.0,Q2
