Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra Óptica,Wireless,Otros,Total,Trimestre_Label
2014,2,TUCUMÁN,131740,97,121,13,98,132069,Q2
2014,1,BUENOS AIRES,1567685,1000879,120960,16528,33824,2739876,Q1
2014,1,CABA,445569,820161,17767,1866,14555,1299918,Q1
2014,1,CATAMARCA,24126,46,17,0,43,24232,Q1
2014,1,CHACO,52971,9497,30,0,58,62556,Q1
2014,1,CHUBUT,51066,539,866,10776,6974,70221,Q1
2014,1,CÓRDOBA,336841,225769,347,3585,368,566910,Q1
2014,1,CORRIENTES,52565,8279,31,1306,55,62236,Q1
2014,1,ENTRE RÍOS,107883,21379,49,4887,133,134331,Q1
2014,1,FORMOSA,20774,4548,0,0,100,25422,Q1
2014,1,JUJUY,29765,4030,23,0,9,33827,Q1
2014,1,LA PAMPA,15826,31305,513,5848,701,54193,Q1
2014,1,LA RIOJA,15663,0,14,0,34,15711,Q1
2014,1,MENDOZA,148970,12076,2480,37,2282,165845,Q1
2014,1,MISIONES,56597,17191,4,150,8,73950,Q1
2014,1,NEUQUÉN,47790,28161,997,10381,3051,90380,Q1
2014,1,RÍO NEGRO,64886,24156,876,3576,1572,95066,Q1
2014,1,SALTA,73131,17538,45,8,568,91290,Q1
2014,1,SAN JUAN,48161,434,722,808,1173,51298,Q1
2014,1,SAN LUIS,11306,428,354,21,448,12557,Q1
2014,1,SANTA CRUZ,18927,100,381,4092,3264,26764,Q1
2014,1,SANTA FE,322662,174296,3059,5951,644,506612,Q1
2014,1,SANTIAGO DEL ESTERO,32567,3598,19,915,34,37133,Q1
2014,1,TIERRA DEL FUEGO,21618,2837,648,1,2934,28038,Q1
2014,1,TUCUMÁN,129717,83,121,13,98,130032,Q1
0,0,,0,0,0,0,0,0,Sin etiqueta
0,5,,0,0,0,0,0,0,Sin etiqueta
