Año,Trimestre,Provincia,Hasta 512 Kbps,De 512 Kbps a 1 Mbps,De 1 Mbps a 6 Mbps,De 6 Mbps a 10 Mbps,De 10 Mbps a 20 Mbps,De 20 Mbps a 30 Mbps,De 30 Mbps,Otros,Total,Trimestre_Label
2016,3,SANTA CRUZ,189,22,31904,221,52,9,0,0.0,32397,Q3
2016,3,SANTA FE,3958,49501,360606,72657,69864,10210,1308,0.0,568104,Q3
2016,3,SANTIAGO DEL ESTERO,26,5097,22747,6216,2497,9,0,0.0,36592,Q3
2016,3,TIERRA DEL FUEGO,16,285,35080,0,0,0,0,0.0,35381,Q3
2016,3,TUCUMÁN,127,12247,87970,36518,13150,1288,4,0.0,151304,Q3
2016,2,BUENOS AIRES,10786,133385,2250898,335296,334723,31494,11933,0.0,3108515,Q2
2016,2,CABA,4352,1736,859038,146091,213010,19597,13477,0.0,1257301,Q2
2016,2,CATAMARCA,15,5736,14742,4567,1496,47,1,0.0,26604,Q2
2016,2,CHACO,197,8063,45823,20346,12090,1571,201,0.0,88291,Q2
2016,2,CHUBUT,572,5421,73078,775,0,0,0,0.0,79846,Q2
2016,2,CÓRDOBA,258,57050,437547,71980,82618,8355,1242,0.0,659050,Q2
2016,2,CORRIENTES,41,10018,47916,19200,8851,803,191,0.0,87020,Q2
2016,2,ENTRE RÍOS,4734,16368,115000,36917,15522,849,205,0.0,189595,Q2
2016,2,FORMOSA,1675,5401,14370,3569,3218,593,10,0.0,28836,Q2
2016,2,JUJUY,2561,8292,25301,5589,1750,3,0,0.0,43496,Q2
2016,2,LA PAMPA,429,10616,63928,15,119,96,11,0.0,75214,Q2
2016,2,LA RIOJA,10,3151,9043,3190,1344,3,5,0.0,16746,Q2
2016,2,MENDOZA,437,30,176922,61,44,5,20,0.0,177519,Q2
2016,2,MISIONES,1973,7899,49586,21385,14820,1073,96,0.0,96832,Q2
2016,2,NEUQUÉN,1916,1691,88854,583,10241,1285,208,0.0,104778,Q2
2016,2,RÍO NEGRO,1189,6107,92158,194,4877,520,86,0.0,105131,Q2
2016,2,SALTA,2160,10123,70875,18759,7129,140,49,0.0,109235,Q2
2016,2,SAN JUAN,10,273,57589,0,0,0,4,0.0,57876,Q2
2016,2,SAN LUIS,12,4,13931,0,0,1,2,0.0,13950,Q2
2016,2,SANTA CRUZ,244,26,31995,142,20,0,0,0.0,32427,Q2
2016,2,SANTA FE,9486,67325,374960,68505,60469,6509,1277,0.0,588531,Q2
2016,2,SANTIAGO DEL ESTERO,704,6705,22208,5943,2108,1,0,0.0,37669,Q2
2016,2,TIERRA DEL FUEGO,16,286,38773,0,0,0,0,0.0,39075,Q2
2016,2,TUCUMÁN,231,18515,83945,33891,11310,1032,2,0.0,148926,Q2
2016,1,BUENOS AIRES,7350,97879,2214759,289929,247372,8315,9528,0.0,2875135,Q1
2016,1,CABA,2310,43686,869048,178664,192643,6577,10838,0.0,1303768,Q1
2016,1,CATAMARCA,15,6102,14653,4241,1334,42,1,0.0,26388,Q1
2016,1,CHACO,194,8755,46304,19388,10587,1238,184,0.0,86650,Q1
2016,1,CHUBUT,94,5095,72396,1066,0,0,0,0.0,78651,Q1
2016,1,CÓRDOBA,148,59484,414452,65763,66455,4143,1039,0.0,611484,Q1
2016,1,CORRIENTES,29,10690,47833,18375,7911,526,170,0.0,85534,Q1
2016,1,ENTRE RÍOS,2864,17749,104137,35104,14057,457,165,0.0,174533,Q1
2016,1,FORMOSA,1738,5731,14163,3229,2906,544,5,0.0,28316,Q1
2016,1,JUJUY,2543,8558,22383,5188,1623,0,0,0.0,40295,Q1
2016,1,LA PAMPA,426,11065,52117,15,78,71,11,0.0,63783,Q1
2016,1,LA RIOJA,10,3382,9060,2980,1254,2,3,0.0,16691,Q1
2016,1,MENDOZA,235,21,175376,47,43,5,17,0.0,175744,Q1
2016,1,MISIONES,959,8502,50061,19195,13363,779,68,0.0,92927,Q1
2016,1,NEUQUÉN,1720,1737,86310,479,7893,143,171,0.0,98453,Q1
2016,1,RÍO NEGRO,1171,6105,90038,203,4246,77,81,0.0,101921,Q1
2016,1,SALTA,1119,10765,65646,17748,6643,119,31,0.0,102071,Q1
2016,1,SAN JUAN,9,309,56447,0,0,0,2,0.0,56767,Q1
2016,1,SAN LUIS,8,4,13645,0,0,1,2,0.0,13660,Q1
2016,1,SANTA CRUZ,168,29,32188,8,0,0,0,0.0,32393,Q1
2016,1,SANTA FE,6492,71565,353525,64117,51293,3754,1063,0.0,551809,Q1
2016,1,SANTIAGO DEL ESTERO,703,7219,22805,5769,1898,0,0,0.0,38394,Q1
2016,1,TIERRA DEL FUEGO,16,285,33003,0,0,0,0,0.0,33304,Q1
2016,1,TUCUMÁN,106,20092,84008,31490,10046,871,0,0.0,146613,Q1
2015,4,BUENOS AIRES,7984,100302,2253196,274559,240187,3834,8179,0.0,2888246,Q4
2015,4,CABA,2417,46568,916813,172029,198635,3087,10899,0.0,1350449,Q4
2015,4,CATAMARCA,15,6513,14484,4106,1313,39,1,0.0,26471,Q4
2015,4,CHACO,194,9593,46771,18608,10092,1136,159,0.0,86553,Q4
2015,4,CHUBUT,625,5774,71881,168,0,0,0,0.0,78448,Q4
2015,4,CÓRDOBA,148,63746,427471,62989,67151,3336,1088,0.0,625929,Q4
2015,4,CORRIENTES,29,11248,48104,17877,7569,456,150,0.0,85433,Q4
2015,4,ENTRE RÍOS,2865,18883,104224,33989,13668,399,163,0.0,174191,Q4
2015,4,FORMOSA,1791,6081,14279,2704,2713,519,4,0.0,28091,Q4
2015,4,JUJUY,2551,8876,21867,5044,1587,0,0,0.0,39925,Q4
