país,Provincia,Partido,Localidad,link Indec,Velocidad (Mbps),Accesos,Provincia_encoded,Partido_encoded,Localidad_encoded
Argentina,Buenos Aires,9 De Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,3.0,510.0,0,4,78
Argentina,Buenos Aires,9 De Julio,Dudignac,6588040,1.0,8.0,0,4,756
Argentina,Buenos Aires,9 De Julio,Dudignac,6588040,3.0,36.0,0,4,756
Argentina,Buenos Aires,9 De Julio,Dudignac,6588040,4.0,247.0,0,4,756
Argentina,Buenos Aires,9 De Julio,Dudignac,6588040,6.0,46.0,0,4,756
Argentina,Buenos Aires,9 De Julio,Dudignac,6588040,10.0,52.0,0,4,756
Argentina,Buenos Aires,9 De Julio,Manuel B. Gonnet  (Est. French),6588060,1.0,1.0,0,4,1596
Argentina,Buenos Aires,9 De Julio,Manuel B. Gonnet  (Est. French),6588060,2.0,193.0,0,4,1596
Argentina,Buenos Aires,9 De Julio,Manuel B. Gonnet  (Est. French),6588060,6.0,1.0,0,4,1596
Argentina,Buenos Aires,9 De Julio,Manuel B. Gonnet  (Est. French),6588060,10.0,2.0,0,4,1596
Argentina,Buenos Aires,9 De Julio,Morea,6588080,3.0,130.0,0,4,1704
Argentina,Buenos Aires,9 De Julio,Patricios,6588110,3.0,50.0,0,4,1836
Argentina,Buenos Aires,9 De Julio,Patricios,6588110,6.0,16.0,0,4,1836
Argentina,Buenos Aires,9 De Julio,Patricios,6588110,10.0,44.0,0,4,1836
Argentina,Buenos Aires,9 De Julio,Patricios,6588110,15.0,21.0,0,4,1836
Argentina,Buenos Aires,9 De Julio,Villa General Fournier  (Est. 9 De Julio Sud),6588120,3.0,42.0,0,4,2596
Argentina,Buenos Aires,9 De Julio,Villa General Fournier  (Est. 9 De Julio Sud),6588120,6.0,6.0,0,4,2596
Argentina,Buenos Aires,9 De Julio,Villa General Fournier  (Est. 9 De Julio Sud),6588120,10.0,37.0,0,4,2596
Argentina,Buenos Aires,9 De Julio,Villa General Fournier  (Est. 9 De Julio Sud),6588120,15.0,29.0,0,4,2596
Argentina,Buenos Aires,9 De Julio,Villa General Fournier  (Est. 9 De Julio Sud),6588120,20.0,32.0,0,4,2596
Argentina,Buenos Aires,9 De Julio,Villa General Fournier  (Est. 9 De Julio Sud),6588120,30.0,11.0,0,4,2596
Argentina,Buenos Aires,9 De Julio,Villa General Fournier  (Est. 9 De Julio Sud),6588120,50.0,3.0,0,4,2596
Argentina,Buenos Aires,Adolfo Alsina,Carhué,6007010,3.0,763.0,0,5,388
Argentina,Buenos Aires,Adolfo Alsina,Carhué,6007010,3.5,20.0,0,5,388
Argentina,Buenos Aires,Adolfo Alsina,Carhué,6007010,7.0,103.0,0,5,388
Argentina,Buenos Aires,Adolfo Alsina,Carhué,6007010,8.0,36.0,0,5,388
Argentina,Buenos Aires,Adolfo Alsina,Carhué,6007010,15.0,1231.0,0,5,388
Argentina,Buenos Aires,Adolfo Alsina,Carhué,6007010,30.0,1.0,0,5,388
Argentina,Buenos Aires,Adolfo Alsina,Carhué,6007010,31.0,266.0,0,5,388
Argentina,Buenos Aires,Adolfo Alsina,Carhué,6007010,50.0,820.0,0,5,388
Argentina,Buenos Aires,Adolfo Alsina,Carhué,6007010,61.0,31.0,0,5,388
Argentina,Buenos Aires,Adolfo Alsina,Carhué,6007010,100.0,2.0,0,5,388
Argentina,Buenos Aires,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,3.0,208.0,0,5,603
Argentina,Buenos Aires,Adolfo Alsina,Esteban Agustín Gascón,6007050,3.0,60.0,0,5,914
Argentina,Buenos Aires,Adolfo Alsina,Maza,6007070,0.0,10.0,0,5,1639
