Tecnologia,Localidad,Accesos
ADSL,Choya,49.0
ADSL,Chucul,13.0
ADSL,Chumbicha,78.0
ADSL,Churruca,3.0
ADSL,Cinco Saltos,1418.0
ADSL,Cintra,317.0
ADSL,Cipolletti,1.0
ADSL,Ciudad Autónoma de Buenos Aires,54102.0
ADSL,Ciudad Del Libertador General San Martin,904.0
ADSL,Ciudad Evita,40.0
ADSL,Ciudad Jardín Lomas del Palomar,170.0
ADSL,Ciudadela,125.0
ADSL,Claromecó,228.0
ADSL,Claypole,4.0
ADSL,Clorinda,838.0
ADSL,Colonia Avellaneda,268.0
ADSL,Colonia Benítez,106.0
ADSL,Colonia Bicha,72.0
ADSL,Colonia Bossi,56.0
ADSL,Colonia Caroya,626.0
ADSL,Colonia Dora,33.0
ADSL,Colonia Raquel,31.0
ADSL,Colonia San Ricardo  (Est. Iriarte),244.0
ADSL,Colonia Victoria,3.0
ADSL,Colonia Vignaud,81.0
ADSL,Colón,4691.0
ADSL,Comandante Luis Piedrabuena,530.0
ADSL,Comodoro Rivadavia,11887.0
ADSL,Concepción,802.0
ADSL,Concepción del Uruguay,3963.0
ADSL,Concordia,2314.0
ADSL,Conesa,670.0
ADSL,Coronda,388.0
ADSL,Coronel Bogado,415.0
ADSL,Coronel Brandsen,1250.0
ADSL,Coronel Charlone,317.0
ADSL,Coronel Cornejo,8.0
ADSL,Coronel Dorrego,204.0
ADSL,Coronel Du Graty,66.0
ADSL,Coronel Juan Solá,30.0
ADSL,Coronel Martínez de Hoz  (Ap. Kilómetro 322),290.0
ADSL,Coronel Moldes,322.0
ADSL,Coronel Pringles  (Est. Pringles),555.0
ADSL,Coronel Suárez,691.0
ADSL,Coronel Vidal,3.0
ADSL,Corral de Bustos,686.0
ADSL,Correa,74.0
ADSL,Corrientes,4435.0
ADSL,Cortines,71.0
ADSL,Corzuela,68.0
ADSL,Cosquín,1153.0
ADSL,Costasacate,126.0
ADSL,Crespo,501.0
ADSL,Crucesita,1.0
ADSL,Cruz Alta,585.0
ADSL,Cruz del Eje,712.0
ADSL,Cuadro Benegas,23.0
ADSL,Curuzú Cuatiá,439.0
ADSL,Cutral Có,4563.0
ADSL,Córdoba,25694.0
ADSL,Daireaux,226.0
ADSL,Darregueira,205.0
ADSL,Del Campillo,608.0
ADSL,Del Valle,181.0
ADSL,Del Viso,18818.0
ADSL,Despeñaderos,923.0
ADSL,Desvío Arijón,123.0
ADSL,Devoto,318.0
ADSL,Deán Funes,287.0
ADSL,Diamante,1547.0
ADSL,Diego de Alvear,206.0
ADSL,Dina Huapi,354.0
ADSL,Dique Luján,7.0
ADSL,Dock Sud,11.0
ADSL,Dolores,1045.0
ADSL,Don Torcuato Este,356.0
ADSL,Donadeu,1.0
ADSL,Durazno,5.0
ADSL,Díaz,185.0
ADSL,Eduardo Castex,1257.0
ADSL,El Bolsón,1800.0
ADSL,El Calafate,1519.0
ADSL,El Caramelo,71.0
ADSL,El Carmen,207.0
ADSL,El Carril,155.0
ADSL,El Colorado,1341.0
ADSL,El Corcovado - El Torreón,52.0
ADSL,El Cuy,38.0
ADSL,El Galpón,170.0
ADSL,El Hoyo,139.0
ADSL,El Huayco,63.0
ADSL,El Libertador,48.0
ADSL,El Manzano,125.0
ADSL,El Palomar,27.0
ADSL,El Pantanillo,4.0
ADSL,El Paraíso,17.0
ADSL,El Piquete,58.0
ADSL,El Remanso,397.0
ADSL,El Rincón,330.0
ADSL,El Sombrero,4.0
ADSL,El Talar,107.0
ADSL,El Trébol,518.0
ADSL,El Tío,13.0
ADSL,Eldorado,5270.0
ADSL,Elena,57.0
ADSL,Elortondo,416.0
ADSL,Embajador Martini,13.0
ADSL,Embarcación,836.0
ADSL,Emilia,91.0
ADSL,Empalme Villa Constitución,231.0
ADSL,Empedrado,675.0
ADSL,Ensenada,1196.0
ADSL,Epuyén,1184.0
ADSL,Ernestina,75.0
ADSL,Esperanza,1421.0
ADSL,Esquel,3136.0
ADSL,Esquina,162.0
ADSL,Estación Atamisqui,1.0
ADSL,Estación Chapadmalal,246.0
ADSL,Estación La Punta,333.0
ADSL,Estación Raíces,18.0
ADSL,Estanislao Severo Zeballos,3.0
ADSL,Estanislao del Campo,21.0
ADSL,Etruria,11.0
ADSL,Eugenio Bustos,18.0
ADSL,Eusebia y Carolina,27.0
ADSL,Ezpeleta,2.0
ADSL,Ezpeleta Oeste,2.0
ADSL,Famaillá,345.0
ADSL,Famatanca,45.0
ADSL,Faustino M. Parera,2.0
ADSL,Federación,942.0
ADSL,Federal,333.0
ADSL,Fernández,477.0
ADSL,Fighiera,160.0
ADSL,Firmat,60.0
ADSL,Florencia,239.0
ADSL,Florencio Varela,314.0
ADSL,Florentino Ameghino,40.0
ADSL,Florida,307.0
ADSL,Florida Oeste,135.0
ADSL,Fontezuela,14.0
ADSL,Formosa,5319.0
ADSL,Fortín Olavarría,272.0
ADSL,Fraile Pintado,479.0
ADSL,Francisco Alvarez,596.0
ADSL,Franck,127.0
ADSL,Fray Luis Beltrán,1659.0
ADSL,Freyre,161.0
ADSL,Frías,1067.0
ADSL,Funes,1970.0
ADSL,Fátima,270.0
ADSL,Gahan,181.0
ADSL,Gaiman,180.0
