Provincia,Partido,Localidad,Link Indec,Velocidad (Mbps),Accesos
BUENOS AIRES,9 DE JULIO,MANUEL B. GONNET  (EST. FRENCH),6588060,6.0,1.0
BUENOS AIRES,9 DE JULIO,MANUEL B. GONNET  (EST. FRENCH),6588060,10.0,2.0
BUENOS AIRES,9 DE JULIO,MOREA,6588080,3.0,130.0
BUENOS AIRES,9 DE JULIO,PATRICIOS,6588110,3.0,50.0
BUENOS AIRES,9 DE JULIO,PATRICIOS,6588110,6.0,16.0
BUENOS AIRES,9 DE JULIO,PATRICIOS,6588110,10.0,44.0
BUENOS AIRES,9 DE JULIO,PATRICIOS,6588110,15.0,21.0
BUENOS AIRES,9 DE JULIO,VILLA GENERAL FOURNIER  (EST. 9 DE JULIO SUD),6588120,3.0,42.0
BUENOS AIRES,9 DE JULIO,VILLA GENERAL FOURNIER  (EST. 9 DE JULIO SUD),6588120,6.0,6.0
BUENOS AIRES,9 DE JULIO,VILLA GENERAL FOURNIER  (EST. 9 DE JULIO SUD),6588120,10.0,37.0
BUENOS AIRES,9 DE JULIO,VILLA GENERAL FOURNIER  (EST. 9 DE JULIO SUD),6588120,15.0,29.0
BUENOS AIRES,9 DE JULIO,VILLA GENERAL FOURNIER  (EST. 9 DE JULIO SUD),6588120,20.0,32.0
BUENOS AIRES,9 DE JULIO,VILLA GENERAL FOURNIER  (EST. 9 DE JULIO SUD),6588120,30.0,11.0
BUENOS AIRES,9 DE JULIO,VILLA GENERAL FOURNIER  (EST. 9 DE JULIO SUD),6588120,50.0,3.0
BUENOS AIRES,ADOLFO ALSINA,CARHUÉ,6007010,3.0,763.0
BUENOS AIRES,ADOLFO ALSINA,CARHUÉ,6007010,3.5,20.0
BUENOS AIRES,ADOLFO ALSINA,CARHUÉ,6007010,7.0,103.0
BUENOS AIRES,ADOLFO ALSINA,CARHUÉ,6007010,8.0,36.0
BUENOS AIRES,ADOLFO ALSINA,CARHUÉ,6007010,15.0,1231.0
BUENOS AIRES,ADOLFO ALSINA,CARHUÉ,6007010,30.0,1.0
BUENOS AIRES,ADOLFO ALSINA,CARHUÉ,6007010,31.0,266.0
BUENOS AIRES,ADOLFO ALSINA,CARHUÉ,6007010,50.0,820.0
BUENOS AIRES,ADOLFO ALSINA,CARHUÉ,6007010,61.0,31.0
BUENOS AIRES,ADOLFO ALSINA,CARHUÉ,6007010,100.0,2.0
BUENOS AIRES,ADOLFO ALSINA,COLONIA SAN MIGUEL ARCÁNGEL,6007020,3.0,208.0
BUENOS AIRES,ADOLFO ALSINA,ESTEBAN AGUSTÍN GASCÓN,6007050,3.0,60.0
BUENOS AIRES,ADOLFO ALSINA,MAZA,6007070,0.0,10.0
BUENOS AIRES,ADOLFO ALSINA,MAZA,6007070,0.5,2.0
BUENOS AIRES,ADOLFO ALSINA,MAZA,6007070,5.0,386.0
BUENOS AIRES,ADOLFO ALSINA,MAZA,6007070,10.0,6.0
BUENOS AIRES,ADOLFO ALSINA,MAZA,6007070,20.0,2.0
BUENOS AIRES,ADOLFO ALSINA,RIVERA,6007080,20.0,1252.0
BUENOS AIRES,ADOLFO ALSINA,RIVERA,6007080,35.0,26.0
BUENOS AIRES,ADOLFO ALSINA,RIVERA,6007080,50.0,31.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,ADOLFO GONZALES CHAVES  (EST. CHAVES),6014010,0.75,3.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,ADOLFO GONZALES CHAVES  (EST. CHAVES),6014010,3.5,147.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,ADOLFO GONZALES CHAVES  (EST. CHAVES),6014010,8.0,447.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,ADOLFO GONZALES CHAVES  (EST. CHAVES),6014010,10.0,122.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,ADOLFO GONZALES CHAVES  (EST. CHAVES),6014010,12.0,1.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,ADOLFO GONZALES CHAVES  (EST. CHAVES),6014010,15.0,1422.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,ADOLFO GONZALES CHAVES  (EST. CHAVES),6014010,30.0,44.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,ADOLFO GONZALES CHAVES  (EST. CHAVES),6014010,50.0,1.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,DE LA GARMA,6014020,4.0,632.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,DE LA GARMA,6014020,7.0,7.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,DE LA GARMA,6014020,8.0,28.0
