Provincia,Partido,Localidad,Tecnologia,Link Indec,Accesos
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,ADSL,6028010,86.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,CABLEMODEM,6028010,9190.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,DIAL UP,6028010,53.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,FIBRA OPTICA,6028010,12086.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,Otros,6028010,2.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,SATELITAL,6028010,1.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,WIRELESS,6028010,26.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,ADSL,6028010,39.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,CABLEMODEM,6028010,15962.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,DIAL UP,6028010,35.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,FIBRA OPTICA,6028010,12081.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,Otros,6028010,6.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,SATELITAL,6028010,2.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,WIRELESS,6028010,309.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,ADSL,6028010,4.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,CABLEMODEM,6028010,7379.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,DIAL UP,6028010,3.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,FIBRA OPTICA,6028010,3987.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,Otros,6028010,13.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,WIRELESS,6028010,2.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,CABLEMODEM,6028010,5391.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,WIRELESS,6028010,1.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,ADSL,6028010,11.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,CABLEMODEM,6028010,8794.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,DIAL UP,6028010,10.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,FIBRA OPTICA,6028010,12012.0
